operating_point,i_d_A,i_q_A,L_dd_H,L_dq_H,L_qd_H,L_qq_H
55,-15.0,-10.0,0.0009248711592646699,5.394971279350001e-05,7.39947759529e-05,0.00101035403409154
56,-10.0,-10.0,0.0008166135895848699,0.0002122826751165499,0.00021871679983234,0.0008890351301119599
57,-5.0,-10.0,0.0006239809722981901,0.00031681415348301016,0.0003314771565813099,0.0008108755641350301
58,0.0,-10.0,0.0004276105594179602,0.00034626033659532,0.0003521847483085901,0.0007618631268617
59,5.0,-10.0,0.00029645830535101995,0.0002952878249121001,0.00030223954759301,0.00073865970072694
60,10.0,-10.0,0.0002242328051768199,0.00024296411792984024,0.0002491599862038299,0.0007119936509406399
61,15.0,-10.0,0.00018231085671427012,0.00019957633403379984,0.00020685324291069,0.00067688539612283
62,20.0,-10.0,0.0001545270075385099,0.00016369103225598002,0.00017038265070986003,0.00063669923916946
63,25.0,-10.0,0.0001330824167678598,0.00013414384323823003,0.00013673253945196002,0.00059482135940954
64,30.0,-10.0,0.00011304941308497816,0.00011101611892109023,0.00010423585981940062,0.00055603983876982
65,-30.0,-5.0,0.0008799346018439996,-0.0001674648015907101,-0.00018455508595553055,0.00148705286369968
66,-25.0,-5.0,0.00098379243957008,-0.00013791315542623002,-0.00014691834284631,0.0016131170270519504
67,-20.0,-5.0,0.00105024742545931,-8.330554048391e-05,-0.00010616669206583995,0.0016955755911193498
68,-15.0,-5.0,0.00106004462200494,-1.6657220404299974e-05,-5.464600579101996e-05,0.00169277335854909
69,-10.0,-5.0,0.0009553442676862402,7.419321822693999e-05,6.348688503742001e-05,0.0016157042428264097
70,-5.0,-5.0,0.0007156730763032699,0.00018852836068382009,0.00019608301983723987,0.0014649065077079401
71,0.0,-5.0,0.00043352029766678994,0.00024523686579207006,0.00025548900294053,0.001271726690166
72,5.0,-5.0,0.00024212306426120016,0.00021501852104116,0.00024674620750064004,0.00110030229227393
73,10.0,-5.0,0.0001719105584660898,0.00016876618305249996,0.00019455001104719,0.0009606837862438312
74,15.0,-5.0,0.00013858455231701984,0.00012988445936391,0.00014477555675782998,0.0008452768256794497
75,20.0,-5.0,0.00011958425514157003,9.979277070107998e-05,0.00010787201531335002,0.0007497937628350146
76,25.0,-5.0,0.00010692293195138022,7.757114688834999e-05,8.156222579229003e-05,0.0006723355115288001
77,30.0,-5.0,9.548555458610032e-05,6.195343437796e-05,5.939695892163022e-05,0.0006112380568933962
78,-30.0,0.0,0.0009001531926493098,6.427661826280059e-06,7.186127423329987e-06,0.00162641860880152
79,-25.0,0.0,0.0010057207369037302,3.831070311080022e-06,1.865706263430003e-06,0.00179247418140774
80,-20.0,0.0,0.00107208736580972,5.409078154300145e-07,-2.5885071111099986e-06,0.00191859818473383
81,-15.0,0.0,0.00108236991797552,-2.6955036983800086e-06,-5.8765723400400035e-06,0.0019987497745373403
82,-10.0,0.0,0.00102179917067299,-6.996244347460059e-06,-9.150051008810002e-06,0.00201558051995727
83,-5.0,0.0,0.0007950246198633201,-1.1287992654470184e-05,-1.2500396079099998e-05,0.00185283660851593
84,0.0,0.0,0.0004541007197753001,-1.0538436774239907e-05,-1.2419467125419997e-05,0.00160565723555454
85,5.0,0.0,0.00021998762261144986,-7.436998808420248e-06,-8.803356329158813e-06,0.00132700412840632
86,10.0,0.0,0.0001390987434995699,-4.559607950400252e-06,-5.8654803906503335e-06,0.00109825130602407
87,15.0,0.0,0.00011333744436285015,-3.1433684522998164e-06,-4.036780498126618e-06,0.00092788014694291
88,20.0,0.0,0.00010221369506294986,-2.252375068419882e-06,-2.5586634407895407e-06,0.00080156000725447
89,25.0,0.0,9.524308044473983e-05,-1.6733558410100824e-06,-1.8231664896583554e-06,0.00070646798451113
90,30.0,0.0,8.841789936653993e-05,-1.3388948676300304e-06,-1.598252780597285e-06,0.00063461128145115
91,-30.0,5.0,0.0008754349897940499,0.0001757666958127001,0.00018748762853703976,0.0014653766218222502
92,-25.0,5.0,0.0009779056855592299,0.00014030372546541,0.00014526123308599998,0.0015842758854015
93,-20.0,5.0,0.00104372085144985,7.810472273550001e-05,0.00010010890106376003,0.00166046940677636
94,-15.0,5.0,0.0010525074698420499,6.398736561299967e-06,4.233632943241999e-05,0.0016563238432208004
95,-10.0,5.0,0.00094675177873015,-8.808930233266e-05,-8.242628098398993e-05,0.0015832842009338801
96,-5.0,5.0,0.0007121308838764901,-0.0002040371983547,-0.00021384026456549004,0.0014379275430145399
97,0.0,5.0,0.00043737129151283984,-0.0002588937377247601,-0.0002703434771690801,0.00125724706830844
98,5.0,5.0,0.0002481018930850398,-0.00022572093470430015,-0.00026065972202983,0.00109470097509169
99,10.0,5.0,0.00017620418882221024,-0.00017687051187964992,-0.00020457397041621995,0.0009592849240394987
100,15.0,5.0,0.0001408917851990002,-0.00013544663023167986,-0.00015191574201176995,0.0008449931794057303
101,20.0,5.0,0.00012105426775285977,-0.00010367608188503012,-0.00011354014711843001,0.0007497224465754854
102,25.0,5.0,0.00010783641215217007,-8.043382090725976e-05,-8.538650001103003e-05,0.0006716920171646599
103,30.0,5.0,9.590991827882964e-05,-6.408874091165008e-05,-6.10811275149702e-05,0.0006103562653846438
104,-30.0,10.0,0.0008559632843373498,0.00025243911423302996,0.0002876903967862208,0.0010551838551835497
105,-25.0,10.0,0.0009080587638265299,0.00018080812226925998,0.00019695849121753993,0.0010630186318148
106,-20.0,10.0,0.0009381823769056099,7.658794672738998e-05,6.945945070819005e-05,0.0010415534336870801
107,-15.0,10.0,0.00091617589290736,-6.522657310835002e-05,-8.306177818252006e-05,0.0009665812485585099
108,-10.0,10.0,0.0008113632357569899,-0.0002204612359560999,-0.00022754635121507023,0.00085369030913052
109,-5.0,10.0,0.0006242201844712201,-0.00032024461352518006,-0.0003385375287045399,0.0007870068623914598
110,0.0,10.0,0.00043241698342569995,-0.00034876327897391985,-0.00035564603504826994,0.0007454337007433701
111,5.0,10.0,0.00030201084845656,-0.0002989293021194297,-0.0003067655005981001,0.0007296700828999201
112,10.0,10.0,0.00022937304797219019,-0.0002471963195511198,-0.0002555732760766101,0.0007075253168794099
113,15.0,10.0,0.00018653187435746995,-0.00020360120062252012,-0.00021359925796213993,0.0006748124876876801
114,20.0,10.0,0.00015722650438736995,-0.0001668735834693999,-0.00017585982568185996,0.0006357455116578199
115,25.0,10.0,0.00013483042141811986,-0.00013638555362673993,-0.0001411893476805,0.0005940308708559499
116,30.0,10.0,0.00011421087837559796,-0.00011263554224953017,-0.00010757507870981986,0.0005549357202360199
117,-30.0,15.0,0.00076476218944461,0.00023624741066484,0.0002324571565585098,0.0005859564985409999
118,-25.0,15.0,0.0008020545180535899,0.00013364776186837002,0.00013163081158953024,0.0005232914426882499
119,-20.0,15.0,0.0007976861560722399,1.3473336352259976e-05,3.6715178074700485e-06,0.00045553435584240015
120,-15.0,15.0,0.00075545828715856,-0.00012453163568401995,-0.00014552679512414013,0.0004233271919436298
121,-10.0,15.0,0.0006917337383133199,-0.00025461212550252995,-0.00026200066715104006,0.0004206249371232599
122,-5.0,15.0,0.0005838288408586701,-0.0003266310944601,-0.0003220968729526399,0.0004521931084407401
123,0.0,15.0,0.0004586866029185902,-0.00033044799543177004,-0.00032768025666061985,0.00050115848139073
124,5.0,15.0,0.00034966885250783985,-0.0002958311237992301,-0.0002985681058937902,0.00052775804107205
125,10.0,15.0,0.0002715322903191198,-0.0002553738066281001,-0.00025943156562845994,0.00053428302263241
126,15.0,15.0,0.0002212145212807201,-0.00022079498941045028,-0.00022369554723336,0.00053236028286801
127,20.0,15.0,0.00018826991474863998,-0.0001912542361392499,-0.00019432176395016014,0.00052438479001338
128,25.0,15.0,0.00016207445337203981,-0.00016459217296807029,-0.00016619629143283,0.0005098094972473
129,30.0,15.0,0.0001366719225677996,-0.00014208548971473,-0.00013665193857288977,0.00049173052599021
130,-30.0,20.0,0.0006683387634640497,0.00017573255562611,0.00016745231607382142,0.00028968645702585996
131,-25.0,20.0,0.00068528468951395,7.80626213206e-05,6.653634851894012e-05,0.0002364620151595203
132,-20.0,20.0,0.00068000297935322,-2.7890167903809985e-05,-3.0504800036430108e-05,0.00019818901265265983
133,-15.0,20.0,0.00064809043105257,-0.00011876611569576999,-0.0001179711969016603,0.0002036920902795801
134,-10.0,20.0,0.00060926377698091,-0.00020560002158168995,-0.00019868043471795994,0.00025118827051627996
135,-5.0,20.0,0.00054838431454198,-0.00026559943307669987,-0.00025800398443706976,0.00031577313757224015
136,0.0,20.0,0.0004632169540865698,-0.0002848025642505001,-0.00028008110241696006,0.00037284858212630994
137,5.0,20.0,0.0003770850372602299,-0.0002739661362123301,-0.00027364095935642017,0.00041124226688819994
138,10.0,20.0,0.00030440918236097,-0.0002481902230549799,-0.00025097103428065005,0.00043079149701665003
139,15.0,20.0,0.0002506514448463202,-0.00022077388445268,-0.0002234974905811699,0.00043832808054980986
140,20.0,20.0,0.00021342932082974998,-0.00019601284176340021,-0.00019841061130256992,0.00043940667768351
141,25.0,20.0,0.00018399916784263975,-0.00017465853194284994,-0.0001738436117036701,0.0004371067427946301
142,30.0,20.0,0.000155068864964439,-0.00015557449482610995,-0.000147236699715011,0.0004309553289394702
143,-30.0,25.0,0.0005777051757524899,0.00011894952945919997,0.0001110568334663528,0.00017774368526706982
144,-25.0,25.0,0.00059843179452367,4.3786309517140004e-05,4.0133367216330094e-05,0.00014674848708734999
145,-20.0,25.0,0.00060085741905587,-2.924097492346999e-05,-2.909840707247015e-05,0.00013958456722663984
146,-15.0,25.0,0.0005777484334806801,-9.299964153260996e-05,-9.252753726051998e-05,0.00015276086221818996
147,-10.0,25.0,0.00054490042093239,-0.00015064149296505996,-0.00014991961985838,0.00018310487031381016
148,-5.0,25.0,0.00050462629818986,-0.0002040644202107301,-0.00020043656134260992,0.00023254562437169008
149,0.0,25.0,0.00045031989978296,-0.00023381170511681,-0.00023221112734466003,0.0002824811068190398
150,5.0,25.0,0.0003862811937033601,-0.00023919298626187986,-0.00024062519100345007,0.0003220540287456299
151,10.0,25.0,0.0003247245420787699,-0.00022784748265167984,-0.00023234575196685002,0.0003484270416031001
152,15.0,25.0,0.0002733919025722998,-0.0002100224363503999,-0.00021508036656650003,0.00036371876821421
153,20.0,25.0,0.00023438526725847,-0.00019077878864587997,-0.0001955431017053399,0.0003709410990233801
154,25.0,25.0,0.0002025128003093301,-0.00017309242503838994,-0.00017464764017686984,0.00037394964496044995
155,30.0,25.0,0.0001725697240974695,-0.00015731597102851998,-0.00015280624524949098,0.0003737061806655201
156,-30.0,30.0,0.0005158763880784799,7.297215055400007e-05,8.163064139537221e-05,0.00011745433632588936
157,-25.0,30.0,0.00053709418513128,2.4968973429660007e-05,2.837723047851015e-05,0.00010726720569680884
158,-20.0,30.0,0.0005432170283034701,-2.4187782632890086e-05,-2.4492424905590143e-05,0.00010858890741504128
159,-15.0,30.0,0.00052668991301098,-6.880663853018991e-05,-7.445089381449e-05,0.00011967875923349011
160,-10.0,30.0,0.00049819899830279,-0.00010702134647010012,-0.00011889567256445979,0.00013737517811198904
161,-5.0,30.0,0.00046521410239022996,-0.0001445475503704702,-0.00015862774793184016,0.00016398978625566975
162,0.0,30.0,0.00042808838803542,-0.00018149991751687054,-0.00019057269804302021,0.00020523419524983832
163,5.0,30.0,0.00038304925972536003,-0.000198345031309481,-0.00020769502457235986,0.00024103509908828848
164,10.0,30.0,0.00033357973227244995,-0.00020039187589400084,-0.00020930629481206997,0.0002710089261901399
165,15.0,30.0,0.00028772013885212006,-0.00019209482044623988,-0.00020098343316088987,0.00029152818823882914
166,20.0,30.0,0.0002503593321417599,-0.00018014762478051928,-0.00018817973455632995,0.0003048826023922995
167,25.0,30.0,0.00021746198545999975,-0.00016512857222509073,-0.00017107853006153011,0.00031075078008862937
168,30.0,30.0,0.00018471186338655902,-0.00015381370179520099,-0.0001509756385368712,0.0003163939612115191
