I_d,I_q,Psi_d,Psi_q,L_dd,L_dq,L_qd,L_qq
0.0,-15.0,0.016212568469448824,-0.015482868102536134,0.000451131295831201,0.00033481275004115796,0.00033346076440567916,0.0004998459092498173
0.0,-10.0,0.017975015703643946,-0.012531686861346897,0.00041239210260953754,0.0003650482345971025,0.00036281311271613295,0.0007004074589245985
0.0,-5.0,0.019675171835402093,-0.007864236833919135,0.00040745418706393435,0.00026778447035877403,0.00026560231667712233,0.0012638476912565277
0.0,0.0,0.020427384361564643,0.0001855800403132384,0.0004260992962448645,-1.0927251703144158e-05,-1.3734660591123121e-05,0.0018440076263301095
0.0,5.0,0.019569787467659628,0.00819233552162631,0.0004071357147206547,-0.00028181228054949633,-0.0002815531618567093,0.001247179807258149
0.0,10.0,0.017838446984317042,0.012758050723397658,0.0004144984621668169,-0.00036516671598036256,-0.00036249328268794513,0.000683801979362415
0.0,15.0,0.016082154677920495,0.01564667252906005,0.0004504633885809868,-0.0003330712219356018,-0.00032904874328897364,0.0004908361143675111
0.0,20.0,0.014533967029999359,0.017769635537304925,0.00045647245483939095,-0.0002845192067222775,-0.00028050786244850935,0.0003658114549631923
0.0,25.0,0.013234129035415446,0.019375158350323184,0.0004450119646768351,-0.00023592274995017128,-0.00023214154300339474,0.0002815538412150448
0.0,30.0,0.01219584997883121,0.02059444660549532,0.00042401922218750584,-9.778073009563959e-05,-0.0001905928597858631,0.00011357812020718198
5.0,-30.0,0.014329043997971526,-0.01948307960939929,0.0003796863647840651,0.00010560598936275312,0.00020876050332233238,0.00013304209214495127
5.0,-25.0,0.015423458065683026,-0.018065287348415775,0.0003825098046411235,0.00024413005304188722,0.000242701448320204,0.0003262781849624034
5.0,-20.0,0.016730297037746644,-0.016229052109800725,0.00037171936610818577,0.0002772924740206294,0.00027569306148246585,0.00041222222848439385
5.0,-15.0,0.018177629719156728,-0.013896612166071184,0.0003391923776585852,0.0002990619886298113,0.0002972117473225753,0.0005268940112205968
5.0,-10.0,0.019690603790190088,-0.010871280929105566,0.0002865479401706247,0.00030211239209705187,0.0003000410043079468,0.0006993036214846286
5.0,-5.0,0.021130507968277784,-0.006510015158801784,0.00022438928997343033,0.0002544793225687022,0.00025312589294138304,0.0010972351152067092
5.0,0.0,0.02184078900060166,0.00013174199363382108,0.00019221239376008255,-8.586110935081758e-06,-8.572888950149918e-06,0.0014639936462856377
5.0,5.0,0.021056137980193537,0.006760026125261589,0.00023157895952940032,-0.00026667145304841775,-0.00026730121655517983,0.0010971510845628803
5.0,10.0,0.019583579653558635,0.0110787517445507,0.00029259494482508766,-0.00030388715095218746,-0.0003049313299884762,0.0006869723096846664
5.0,15.0,0.018066844958999243,0.014056726954260705,0.00034400717911826136,-0.0002986370626649265,-0.00030030854932972537,0.0005189008906618651
5.0,20.0,0.016625268415566347,0.016356332155271224,0.00037585712525665824,-0.0002755821853950926,-0.00027728783080173164,0.00040638636972151735
5.0,25.0,0.015327183596875972,0.018169149623142797,0.00038644065128371705,-0.00024274413546315462,-0.00024400609000769868,0.0003226512246055779
5.0,30.0,0.014233338552947556,0.019576872442727565,0.0003855878148085028,-0.00010589628291887492,-0.00021090541405507663,0.00013218025340624087
10.0,-30.0,0.01610310421143373,-0.018432771693566982,0.000330750980267234,0.00010549975516315498,0.00020986695596503837,0.00014673774377396107
10.0,-25.0,0.017179118185079067,-0.01687149460305293,0.0003198622672318881,0.0002335221635712345,0.00023220890206407968,0.0003541203887459066
10.0,-20.0,0.01839264435164738,-0.014914525310784505,0.0002972040551561125,0.0002504816571424378,0.0002490580425622054,0.00043163641160089524
10.0,-15.0,0.019666761298715675,-0.012516711268319113,0.0002630262449737694,0.00025688562440355375,0.00025543599230848195,0.0005320136875919856
10.0,-10.0,0.020939598757154194,-0.009509291385416778,0.00021987678523885311,0.00024933692293359995,0.0002468963815735031,0.0006843660593711731
10.0,-5.0,0.022096402478014036,-0.005396774758912723,0.00016789742331351838,0.00019373641361931736,0.0001931734255970222,0.000972168996137715
10.0,0.0,0.022627260587679172,9.754647702161187e-05,0.00013355209197328185,-6.015344856310478e-06,-5.357607616034522e-06,0.0011712594062085258
10.0,5.0,0.022050806398510023,0.005585738301328033,0.00017170626063824662,-0.00020126172810263043,-0.0002019845036159962,0.0009695097345653902
10.0,10.0,0.020858555468882652,0.009690395717416615,0.00022424901735771153,-0.0002522788351519512,-0.00025307270752995305,0.0006787426448380585
10.0,15.0,0.019578843202998825,0.012660991470122134,0.0002669088889944624,-0.0002570059672308587,-0.00025832588293073797,0.0005257145277405375
10.0,20.0,0.018304817402601644,0.015033225943740779,0.0003006562369488045,-0.00025003893682163796,-0.0002514438873424169,0.0004276905887085887
10.0,25.0,0.017096940972449074,0.016968906440288607,0.00032219253725150403,-0.00023212052488441658,-0.00023357372519686019,0.00035059826544809984
10.0,30.0,0.016026342576084873,0.01851749635977177,0.0003325781295106615,-0.00010416757811840336,-0.00021070536766600286,0.0001457904460472804
15.0,-30.0,0.01763451382086521,-0.017407234025691772,0.00028354631776282655,0.00010133466657666256,0.0001997082561520954,0.0001577830373006927
15.0,-25.0,0.018644372517338564,-0.01575629503860238,0.00026877162709690186,0.00021504194708887045,0.00021309772218439799,0.0003697836973576149
15.0,-20.0,0.019741016246228572,-0.013740986216906672,0.00024545440982699123,0.00022253773759939256,0.00022079369560227104,0.000439166711216715
