i_d_A,i_q_A,psi_d_Vs,psi_q_Vs
-15.0,-5.0,0.0072418623147474,-0.0096997740385812
-10.0,-5.0,0.0125184410723693,-0.0098250670322915
-5.0,-5.0,0.0167953049916098,-0.009064905188207
0.0,-5.0,0.019675171835402,-0.0078642368339191
5.0,-5.0,0.0211305079682777,-0.0065100151588017
10.0,-5.0,0.022096402478014,-0.0053967747589127
15.0,-5.0,0.0228496135529386,-0.0045645150483298
20.0,-5.0,0.0234822480011842,-0.0039490191913344
25.0,-5.0,0.0240454561043543,-0.0034857948951963
30.0,-5.0,0.024551477320698,-0.0031333969334115
-30.0,0.0,-0.0084037683858611,0.0003506926618703
-25.0,0.0,-0.0036390835619785,0.0003733222460872
-20.0,0.0,0.0016534389831762,0.0003693497245046
-15.0,0.0,0.0070817900961187,0.0003474371749761
-10.0,0.0,0.0124771381629314,0.0003105840011042
-5.0,0.0,0.0172997818028486,0.000255936664888
0.0,0.0,0.0204273843615646,0.0001855800403132
5.0,0.0,0.0218407890006016,0.0001317419936338
10.0,0.0,0.0226272605876791,9.754647702161189e-05
15.0,0.0,0.0232317764355973,7.308718972729666e-05
20.0,0.0,0.0237606350313076,5.71786720403457e-05
25.0,0.0,0.0242539133862268,4.750055531940125e-05
30.0,0.0,0.024713065835755,3.894700714376215e-05
-30.0,5.0,-0.0078556529251181,0.008454762542097
-25.0,5.0,-0.0032223012367349,0.0092866346961546
-20.0,5.0,0.0019234039304742,0.009907374872957
-15.0,5.0,0.0072149072777636,0.0102877237067922
-10.0,5.0,0.0124484786288947,0.0103307381672812
-5.0,5.0,0.0166824250650651,0.0094634608969523
0.0,5.0,0.0195697874676596,0.0081923355216263
5.0,5.0,0.0210561379801935,0.0067600261252615
10.0,5.0,0.02205080639851,0.005585738301328
15.0,5.0,0.0228181798684156,0.0047142864210993
20.0,5.0,0.0234597242505,0.0040665808812103
25.0,5.0,0.0240287225459442,0.003578884949915
30.0,5.0,0.0245380883720217,0.0032127158811
-30.0,10.0,-0.0066461014277341,0.0150044588800928
-25.0,10.0,-0.0022360463073244,0.0162160811001022
-20.0,10.0,0.0024344862105312,0.0169740437922682
-15.0,10.0,0.0071457774617317,0.0169106756071841
-10.0,10.0,0.0115962451396048,0.016143426010443
-5.0,10.0,0.0152594098193016,0.0146352120950334
0.0,10.0,0.017838446984317,0.0127580507233976
5.0,10.0,0.0195835796535586,0.0110787517445507
10.0,10.0,0.0208585554688826,0.0096903957174166
15.0,10.0,0.0218773101332805,0.0085230189837846
20.0,10.0,0.0227238742124573,0.0075544031377952
25.0,10.0,0.0234495751771542,0.006764420726966
30.0,10.0,0.0240721784266385,0.0061425096609902
-30.0,15.0,-0.0053312617827878,0.0190066010939325
-25.0,15.0,-0.0014142200140423,0.0199168210143026
-20.0,15.0,0.0026892833977481,0.0203229092098278
-15.0,15.0,0.0065626415466801,0.0199535361923773
-10.0,15.0,0.0102438662693337,0.0188676412585864
-5.0,15.0,0.0134799789298133,0.0173335295208669
0.0,15.0,0.0160821546779204,0.01564667252906
5.0,15.0,0.0180668449589992,0.0140567269542607
10.0,15.0,0.0195788432029988,0.0126609914701221
15.0,15.0,0.0207821678621904,0.0114624112979761
20.0,15.0,0.021790988415806,0.0104240359977885
25.0,15.0,0.0226648670096768,0.0095191936584745
30.0,15.0,0.0234117329495264,0.0087620730834602
-30.0,20.0,-0.0042836273210857,0.0208640238655028
-25.0,20.0,-0.0008995686886407,0.0214489955269847
-20.0,20.0,0.0025692195740538,0.0215293873506922
-15.0,20.0,0.0059004611048915,0.0211439475266204
-10.0,20.0,0.0090501238845795,0.0203496753816756
-5.0,20.0,0.0119930988747006,0.0191571431794408
0.0,20.0,0.0145339670299993,0.0177696355373049
5.0,20.0,0.0166252684155663,0.0163563321552712
10.0,20.0,0.0183048174026016,0.0150332259437407
15.0,20.0,0.019669360239176,0.0138466218124647
20.0,20.0,0.0208113318510648,0.012798251037929
25.0,20.0,0.0218036534474735,0.011862515699439
30.0,20.0,0.0226513235294912,0.0110598149208923
-30.0,25.0,-0.0035739362265267,0.0219034656641911
-25.0,25.0,-0.0006335938008363,0.0222814411658978
-20.0,25.0,0.00241038171871,0.0223047993363544
-15.0,25.0,0.0053749803897224,0.0219904570951731
-10.0,25.0,0.0081878660535168,0.0213795239637492
-5.0,25.0,0.0108239845990463,0.0204912608965893
0.0,25.0,0.0132341290354154,0.0193751583503231
5.0,25.0,0.0153271835968759,0.0181691496231427
10.0,25.0,0.017096940972449,0.0169689064402886
15.0,25.0,0.0185744290176636,0.0158456921034742
20.0,25.0,0.019830859998172,0.0148181027746236
25.0,25.0,0.0209182816902483,0.0138902610864208
30.0,25.0,0.0218559880012653,0.0130716263728549
-30.0,30.0,-0.0030941320264937,0.0226414607181735
-25.0,30.0,-0.0004617055934693,0.0229164803978582
-20.0,30.0,0.0022768098248191,0.0229252330229586
-15.0,30.0,0.0049704646895654,0.0226715561488023
-10.0,30.0,0.0075437089549289,0.0221807240848137
-5.0,30.0,0.0099524546725933,0.0214825994231577
0.0,30.0,0.0121958499788312,0.0205944466054953
5.0,30.0,0.0142333385529475,0.0195768724427275
10.0,30.0,0.0160263425760848,0.0185174963597717
15.0,30.0,0.017569135875672,0.0174838094946068
20.0,30.0,0.018903543964606,0.0165076620281628
25.0,30.0,0.0200727291970896,0.0156020121490435
30.0,30.0,0.021078163819206,0.0147968767275475
