operating_point,i_d_A,i_q_A,psi_d_Vs,psi_q_Vs
35,-3.56,-2.67,0.0344026525771152,-0.0060365279634814
36,-2.67,-2.67,0.0361744588277931,-0.0060147693242583
37,-1.78,-2.67,0.0379383151867737,-0.0059802280032427
38,-0.89,-2.67,0.0396710589073949,-0.0059555462840381
39,0.0,-2.67,0.0414023421386637,-0.0059359285721689
40,-8.0,-0.89,0.0254020552663205,-0.002203091832713
41,-7.11,-0.89,0.0272225297773527,-0.0022079246784029
42,-6.22,-0.89,0.02902635926406,-0.0022001255431976
43,-5.33,-0.89,0.0308324625629035,-0.0021837747771292
44,-4.44,-0.89,0.0326230969587559,-0.0021844426615154
45,-3.56,-0.89,0.0344076209008981,-0.0021766372238179
46,-2.67,-0.89,0.0361982471185384,-0.0021523806262718
47,-1.78,-0.89,0.0379508713267203,-0.0021464582972902
48,-0.89,-0.89,0.0397074032651282,-0.0021444794178653
49,0.0,-0.89,0.0414278159548166,-0.0021177750042488
50,-8.0,0.0,0.0253916732396214,-0.0002298860795375
51,-7.11,0.0,0.0272054354021229,-0.0002412403309435
52,-6.22,0.0,0.0290222496495014,-0.0002256861927971
53,-5.33,0.0,0.0308131812386226,-0.0002205533009003
54,-4.44,0.0,0.032609427788797,-0.0002192371927254
55,-3.56,0.0,0.034404614029339,-0.0002188461724634
56,-2.67,0.0,0.0361785360830254,-0.0002116006696281
57,-1.78,0.0,0.0379410294025965,-0.000206973668335
58,-0.89,0.0,0.0397045012010849,-0.0002016982315696
59,0.0,0.0,0.0414241200616987,-0.0001865970374197
60,-8.0,0.89,0.0253965655390132,0.0016894989170759
61,-7.11,0.89,0.0272118267154987,0.0016931108712193
62,-6.22,0.89,0.0290214994791129,0.0017141505192874
63,-5.33,0.89,0.0308175491521035,0.0016995676521291
64,-4.44,0.89,0.0326257496821022,0.0017011386618422
65,-3.56,0.89,0.0343996007912198,0.0017083882217862
66,-2.67,0.89,0.0361749428288836,0.001706696632385
67,-1.78,0.89,0.03794628155497,0.0016940430050224
68,-0.89,0.89,0.0396937130830595,0.0017005021516434
69,0.0,0.89,0.0414230111821319,0.0016920734289921
70,-8.0,2.67,0.0253694348526591,0.0055931920873078
71,-7.11,2.67,0.0271802474041245,0.0056020602885607
72,-6.22,2.67,0.0289910371781124,0.0055804998724493
73,-5.33,2.67,0.0307968437527075,0.0055849385459957
74,-4.44,2.67,0.0325910998784934,0.0055620716702132
75,-3.56,2.67,0.0343687071351904,0.0055544651026198
76,-2.67,2.67,0.0361487442587974,0.0055349221708658
77,-1.78,2.67,0.0379070106822107,0.0055412634891263
78,-0.89,2.67,0.0396513734345339,0.0055105938583594
79,0.0,2.67,0.0413752350522074,0.0055045316743668
80,-8.0,4.44,0.0253457610387325,0.0094428600006265
81,-7.11,4.44,0.0271513053912424,0.0094149627841985
82,-6.22,4.44,0.0289533802598235,0.0094079902744684
83,-5.33,4.44,0.0307620332846794,0.0094087541224615
84,-4.44,4.44,0.0325397749830605,0.0093711641367359
85,-3.56,4.44,0.034328527062371,0.0093607619281228
86,-2.67,4.44,0.0360906722329387,0.0093437265694928
87,-1.78,4.44,0.0378440424468723,0.0093098481278927
88,-0.89,4.44,0.0395868208285178,0.0092760213090843
89,0.0,4.44,0.0412949768579401,0.0092564127614066
90,-8.0,6.22,0.0253125630035465,0.0131840484347525
91,-7.11,6.22,0.0271083928235346,0.0131783271730884
92,-6.22,6.22,0.0289152770520723,0.0131562839500844
93,-5.33,6.22,0.0307088170017303,0.0131198321980452
94,-4.44,6.22,0.032489820754235,0.0131068894113885
95,-3.56,6.22,0.0342608873852235,0.0130918023625728
96,-2.67,6.22,0.0360186380804748,0.0130381656039688
97,-1.78,6.22,0.037758746531857,0.0130130874230405
98,-0.89,6.22,0.0394904730314412,0.012975889988683
99,0.0,6.22,0.0411749243412712,0.0129033055259397
100,-8.0,8.0,0.025280140812017,0.0168265568824106
101,-7.11,8.0,0.0270776363166015,0.0168099253046694
102,-6.22,8.0,0.028870614035548,0.0167917345170231
103,-5.33,8.0,0.0306528866731776,0.016766935373145
104,-4.44,8.0,0.0324278711507232,0.0167479420692341
105,-3.56,8.0,0.0341916884601301,0.0166708202508595
106,-2.67,8.0,0.0359285987115521,0.0166413258650466
107,-1.78,8.0,0.0376394066518963,0.0165984978495824
108,-0.89,8.0,0.0393349090130581,0.0165283080222544
109,0.0,8.0,0.0410340965069968,0.0164850931587442
