operating_point,i_d_A,i_q_A,L_dd_H,L_dq_H,L_qd_H,L_qq_H
97,-1.78,6.22,0.001935124743477585,-6.435073640345505e-05,-3.6272416920224426e-05,0.0020396756152345507
98,-0.89,6.22,0.0019274499610576964,-6.516166231073164e-05,-4.2541738108877077e-05,0.0020487618800131744
99,0.0,6.22,0.001928826744229034,-7.584230040892995e-05,-8.21082714270796e-05,0.0020277770793330056
100,-8.0,8.0,0.002014032528603202,-2.5800493489581966e-05,-3.94011972253399e-05,0.002024725540309552
101,-7.11,8.0,0.0020096455728545494,-5.139788642272852e-05,-1.2757028639830484e-05,0.0020216165189046644
102,-6.22,8.0,0.0020104431569056176,-2.8265822554579545e-05,-1.978561126994398e-05,0.0020171454591737335
103,-5.33,8.0,0.001993012943306404,-3.4316364221118056e-05,-2.2179226481910258e-05,0.0020083521248291554
104,-4.44,8.0,0.0019902202662823165,-5.446114017044687e-05,-2.4375519973696136e-05,0.0020447276950275543
105,-3.56,8.0,0.001982766779357426,-4.80576085242386e-05,-4.5873644978195946e-05,0.002001139369624408
106,-2.67,8.0,0.0019427601566464649,-6.395572533458502e-05,-4.897968476516752e-05,0.0019866949799530915
107,-1.78,8.0,0.0019315043158068014,-7.085321931519367e-05,-4.3469092462809084e-05,0.001998280243505561
108,-0.89,8.0,0.0019069092212095524,-6.171554934230467e-05,-6.640600100483139e-05,0.0019755109131263764
109,0.0,8.0,0.0018505510365533634,-0.00010044313500601199,-0.0001263349289138231,0.0019624502536151976
