input_v_d_V,input_v_q_V,input_omega_mech_1_s,input_load_torque,output_i_d_A,output_i_q_A,output_torque_Nm,output_omega_mech_1_s
1.000000,0.500000,0.000000,0.000000,0.999978,0.499561,0.148370,0.000000
1.000000,0.500000,0.000000,0.000000,0.999981,0.499590,0.148379,0.000000
1.000000,0.500000,0.000000,0.000000,0.999983,0.499617,0.148387,0.000000
1.000000,0.500000,0.000000,0.000000,0.999984,0.499643,0.148394,0.000000
1.000000,0.500000,0.000000,0.000000,0.999986,0.499667,0.148401,0.000000
1.000000,0.500000,0.000000,0.000000,0.999987,0.499689,0.148408,0.000000
1.000000,0.500000,0.000000,0.000000,0.999989,0.499710,0.148414,0.000000
1.000000,0.500000,0.000000,0.000000,0.999990,0.499729,0.148420,0.000000
1.000000,0.500000,0.000000,0.000000,0.999991,0.499747,0.148425,0.000000
1.000000,0.500000,0.000000,0.000000,0.999992,0.499764,0.148430,0.000000
1.000000,0.500000,0.000000,0.000000,0.999992,0.499780,0.148435,0.000000
1.000000,0.500000,0.000000,0.000000,0.999993,0.499794,0.148439,0.000000
1.000000,0.500000,0.000000,0.000000,0.999994,0.499808,0.148443,0.000000
1.000000,0.500000,0.000000,0.000000,0.999995,0.499821,0.148447,0.000000
1.000000,0.500000,0.000000,0.000000,0.999995,0.499833,0.148450,0.000000
1.000000,0.500000,0.000000,0.000000,0.999996,0.499844,0.148454,0.000000
1.000000,0.500000,0.000000,0.000000,0.999996,0.499854,0.148457,0.000000
1.000000,0.500000,0.000000,0.000000,0.999996,0.499864,0.148460,0.000000
1.000000,0.500000,0.000000,0.000000,0.999997,0.499873,0.148462,0.000000
1.000000,0.500000,0.000000,0.000000,0.999997,0.499882,0.148465,0.000000
1.000000,0.500000,0.000000,0.000000,0.999997,0.499889,0.148467,0.000000
1.000000,0.500000,0.000000,0.000000,0.999998,0.499897,0.148469,0.000000
1.000000,0.500000,0.000000,0.000000,0.999998,0.499904,0.148471,0.000000
1.000000,0.500000,0.000000,0.000000,0.999998,0.499910,0.148473,0.000000
1.000000,0.500000,0.000000,0.000000,0.999998,0.499916,0.148475,0.000000
1.000000,0.500000,0.000000,0.000000,0.999998,0.499922,0.148477,0.000000
1.000000,0.500000,0.000000,0.000000,0.999999,0.499927,0.148478,0.000000
1.000000,0.500000,0.000000,0.000000,0.999999,0.499932,0.148480,0.000000
1.000000,0.500000,0.000000,0.000000,0.999999,0.499936,0.148481,0.000000
1.000000,0.500000,0.000000,0.000000,0.999999,0.499941,0.148482,0.000000
1.000000,0.500000,0.000000,0.000000,0.999999,0.499945,0.148484,0.000000
1.000000,0.500000,0.000000,0.000000,0.999999,0.499948,0.148485,0.000000
1.000000,0.500000,0.000000,0.000000,0.999999,0.499952,0.148486,0.000000
1.000000,0.500000,0.000000,0.000000,0.999999,0.499955,0.148487,0.000000
1.000000,0.500000,0.000000,0.000000,0.999999,0.499958,0.148488,0.000000
1.000000,0.500000,0.000000,0.000000,0.999999,0.499961,0.148488,0.000000
1.000000,0.500000,0.000000,0.000000,0.999999,0.499963,0.148489,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499966,0.148490,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499968,0.148491,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499970,0.148491,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499972,0.148492,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499974,0.148492,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499976,0.148493,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499977,0.148493,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499979,0.148494,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499980,0.148494,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499982,0.148495,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499983,0.148495,0.000000
